OriginalTweet,Sentiment
"We are temporarily closing many retail stores to the public in urban areas &amp; adjusting retail store hours at our other stores starting 3/18. We are taking this action to help keep our employees and customers healthy, &amp; to help answer the increase of calls. https://t.co/11Z5c2sJaN",Extremely Positive
 There s no need for anybody in the country to hoard essential food supplies Relax We re doing great It all will pass   President cautioned against stockpiling of food and urged Americans to remain calm amid the outbreak,Extremely Positive
"I went to the grocery store this afternoon. They are pretty picked over and limiting what one can buy. 

The good news is that you can buy as many butter bunnies as you want. 

I brought one home just for the novelty. 

#GroceryStore #Hoarding #coronapocolypse #Coronavirus https://t.co/uDhn55SJYs",Extremely Positive
Don t panic Stay healthy protect yourself amp others from disease Maintain social distancing practice healthy lifestyle food safety and avoid travel if possible INDIA,Extremely Positive
"@nzlabour perhaps now is a good time to change the policy on how Paywave charges are presented.
In light of the current covid-19 pandemic, I recommend changing the policy of whom gets charged for using Paywave onto the consumer, like it is Australia. Fo",Extremely Positive
COVID-19- Collateral damage: Panic stock piling of vegetables and fruits is adding to food inflation #RBI,Extremely Negative
"Day 2 of #SocialDistancing: called the grocery store to see if they were busy before going to only grab necessities. Apparently frozen pizza is now a, ""necessity."" Not because I needed it, but because it was the only thing in abundance. #COVID2019 #TotinosAreLifeNow",Neutral
"We scored a haul at the grocery store tonight! #hoarding #coronavirus #covid_19 #eatlikekings #hawtdawgs #preppers #coronatime #pandemic @ Frisco, Texas https://t.co/hQwSukY1qe",Neutral
@SANParksKNP @snwright59 Your cancellation refund policy is not in line with Section 17 of the Consumer Protection Act or Government policy over COVID-19. https://t.co/qp3xrUF5CS,Neutral
"Our grocery store in Pound Ridge, NY has felt the shoppers rush. These were taken yesterday. #coronavirus #westchestercounty https://t.co/usNlLxMK5n",Neutral
"A man smiled when he saw me leave the supermarket with my limit of a 4-pack of toilet paper and said, Be sure to make it last! Use both sides! #coronavirusaus #COVID2019 #supermarketapocalypse",Extremely Positive
"I caught the swine flu while in graduate school. Spent a month bed ridden. Millions caught it around the world, and thousands died. I dont remember this type of seemingly manufactured mass hysteria. Logic and numbers lead to realistic conclusions about this situation.",Extremely Negative
"@gibneylegal IP Partner Angelo Mazza discusses online best practices for protecting against counterfeit products when shopping online for supplies during the time of COVID-19. Read more: https://t.co/7spZnqmPPZ
#intellectualproperty #COVID19 #ip https:/",Extremely Positive
I just published Waking Up To a Coronavirus - Businesses and entrepreneurs have to keep the economy going  online https://t.co/o5wdIXrmK9 #coronavirus #freelancing #business #digitalnomad #entrepreneurship #shopping #digital #onlineretail #startups #publicity #digitalmarketing,Neutral
"Have you provided adequate guidance to your store staff during the coronavirus pandemic?  

We have prepared a FREE user friendly Retail Store Hygiene Guidelines document for you to download. You are welcome to circulate this with your retail staff.

https://t.co/JKSYbqWG1u",Extremely Positive
@WSendzik @Niagara_411 Closing everything ( limit number of ppl in a grocery store and pharmacy at one time ) would be the better way to control it no? Why are malls and retail exempt? I'm pretty sure no one needs to be in the @thepencentre .Or any shoppi,Extremely Positive
"If I cant find #wetones &amp; #cloroxwipes by tomorrow, Ill try trading some of my #toiletpaper #unused #ToiletPaperApocalypse #ugh #COVID2019 #coronavirus #KeepYourDistance #sixfeetapart https://t.co/vms2CHZgaq",Neutral
"Ya'll, I'm braving the grocery store after work today... to grab more essential items. WISH ME LUCK ? #coronavirus https://t.co/68opvQL010",Extremely Positive
"now #coronavirus gives everybody #panic and #Chaos but we will get over the coronavirus.
#Goko trying to minimize #footprints and get best conditions for our gust. 
we will serve the food until we get government announce.
God bless you and your family. 
#goko_restaurant #goko https://t.co/AurKw9SFPT",Extremely Positive
"Economic and investment implications of #coronavirus were discussed in a note to clients this week from Sharmin Mossavar-Rahmani, head of the Investment Strategy Group for the Consumer and Investment Management Division at Goldman Sachs. Read it here: https://t.co/udfrwpRu13",Neutral
"Going to the grocery store now is like being on an episode of Chopped. Apparently, my ingredients are pearled barley, great northern beans, tostada shells, and rice wine vinegar. #coronavirus",Extremely Positive
"A #Nielsen investigation has identified key consumer #behaviors driving increased sales of #health &amp; household safety products during the novel coronavirus (COVID-19) outbreak. https://t.co/5E8gXX3xdw
.
.
#medicalcannabis #delivery #customerintelligence #cpg #retail #grassphealth",Extremely Positive
"Renee has arbitrarily decided that, due to me being more vulnerable to covid-19 than she is, that I'm not allowed to go and do things like going to the supermarket, picking up the kids etc. I suspect it's all a ploy to stop me getting a sneaky milky bar on the way home.",Extremely Negative
 China Virus absolutely perfect synonyms of Because of China s food habit the whole world is now under threat each one of us living in fear amp panic why we suffer when we do nothing only blame China who spread and couldn t reveal so that this becomes epidemic,Extremely Negative
"COVID-19 Outbreak Forces VF, PVH, Gap to Shutter Global Retail Doors  Sourcing Journal #COVID19  https://t.co/aRTRR0iKVV",Neutral
"Potential mass spreading yesterday at groceries stores,supermarket,hypermarket
Potential mass spreading at police stations,bus station and RnR towards our beloved hometown where our loves ones are waiting ?
#COVID2019",Extremely Positive
I think peoples greed and lack of food due to excessive stock pilling will kill many people of starvation before corona virus gets to them #COVID2019 #Corvid19uk #stayhomechallenge @SkyNews @TomSwarbrick1 @darrenadam @LBCNews @BBCNews https://t.co/tT21cSatoH,Extremely Negative
"COVID-19 Update
Hancocks of Paducah will continue to accept and fulfill all on-line orders.
We will close our retail store to the public effective March 18, 2020 until further notice. Please be safe.
https://t.co/XBvso0zoMU",Extremely Positive
"#Please be #aware, #help the #people, dont #run if #affected, be 
#clean, #avoid going #out, #make #distance, #sell #sanitisers &amp; #masks at #reasonable #prices, #eat #hygienic #food, be #healthy &amp; #immune, be #good
#covid19 #coronavirus #COVID2019 #CoronavirusOutbreak
#dbz_diary",Neutral
"About to go grocery shopping...
Seems the #coronavirus panicked big-city hordes are stripping regional shopping centres of supplies.
So, why have #Woolworths and #Coles cancelled online and pickup shopping when the advice is to avoid crowds?
#COVID19Aus #profiteering",Extremely Negative
Very interesting article from the Economist We could see the collapse of a number of Goverments from due to the dramatic fall in oil and commodity prices which many regimes depend on,Neutral
"radical idea: ration the amount of food, and other basic goods one person can buy (or get for free if needed) with exceptions for medical reasons. this could stop the panic buying, reduce stress, stop selfishness, and profit hunters during corona times. #coronavirus",Extremely Negative
"The New Zealand Government today announced a $12 billion economic package in response to COVID-19. It includes $500m boost for health, $8.7b in support for businesses and jobs &amp; $2.8b for income support and boosting consumer spending. More info here: https://t.co/RyOEYKdrES https://t.co/PUvslDVJ5B",Extremely Positive
"@BorisJohnson #coronavirus #stopcoronamadness people are panic buying because of uncertainty. You must reassure people that - for 80% of the population, corona will be nothing more than a severe flu at worst lasting a week. There is more than enough food ",Extremely Negative
Just been to supermarket and tried to distance myself in the que until a woman walks and stands right up behind me. I asked her if she watches the news and proceeded to ask her to step back. ? #COVID2019 #SocialDistancing,Neutral
So @VirginHolidays won't talk to me as we aren't due to fly until 25th April. Won't let me rebook and they are racking their prices up hourly which I have to pay the difference!! #mostexpensiveholiday #COVID2019 #VirginAtlantic #Virginholidays,Extremely Positive
"Anyone vulnerable in the Leeds area who can't get to the supermarket, drop me a message.

Will shop, will deliver. We can work out reimbursement for the food later. No charge for petrol.

#SelfIsolationHelp #coronavirus #covid19UK #JoyFightsFear #InThisTogether #stayhomechallenge",Extremely Negative
The Coronavirus panic sorta feels like the panic during Hurricanes Katrina Rita and Ike but on a global scale One thing we learned is to make sure everyone has enough food during a crisis That s why MREs should be available to those who need them We need action,Extremely Negative
Rest assured that the Agriculture sector is going to continue to produce good food through these difficulties. Please give everyone the chance to eat by not panic buying. Keep calm and stay safe. #OntAg https://t.co/yvjxftHHh0,Extremely Positive
"Lines outside of the grocery store seems to be the new normal. Still, lets not forget to be kind to one another &amp; appreciate those working on the front lines in #grocerystores across ??America! #risinguptothechallenges #USA 
 #GroceryStore #groceryshopping #COVID19 #coronavirus https://t.co/coCBYePu9e",Extremely Positive
Shame on greedy cruel Republicans Senators who NEVER HELP AMERICAN FAMILIES NO COVID19 help NO lower drug prices NO election security needs to raise more impt than YOU,Extremely Negative
Seriously.  Stop sending me emails telling me how seriously you take #COVID2019 - I am not interested in what you as a supermarket/ hotel / marketing company / bank are doing. I am only interested in hearing from experts,Extremely Negative
I believe that the has a deeper meaning to move away from consumer oriented egoism to a solidarity based coexistence where less is enough More being than having And we are practicing an ability that has almost been lost Mutual regard respect  Take care  ,Extremely Positive
@ProfTimLang Supermarket shelves in East London are emptying as soon as they are filled. Not only are the crowds a Covid-19 danger but also alarming in terms of food security. Prices doubling in local corner shops and wholesalers. Sainsburys Whitechapel,Neutral
"The Administration is proposing a ""buy American"" drug mandate, which would increase shortages and prices, ultimately harming patients. Now, in the midst of the #coronavirus, is no time to implement such a change. @HHSGov @WhiteHouse https://t.co/Kn9aEiYJL0 @Forbes",Extremely Negative
Working From Home These Nutritious Food Supplies amp Recipes Will Keep You Ticking Keeping your immunity strong is one of the key precautions to prevent Here s what will help with that even as we all stay at home,Extremely Positive
In Seattle we are doing both schools will continue to provide meals and thousands will receive 800 in grocery store vouchers funded by sugary drink tax,Neutral
"I think @DStv @DStvCare  should now charge all of us for Compact Prices (especially people who have premium for Sport) #COVID19SouthAfrica #COVID2019 

We cant be paying for repeats every weekend ???????",Neutral
"Please boost your shopping online and delivery, it will save lifes . @Tesco @sainsburys @Morrisons
#coronavirus #COVID19 #BorisJohnson",Extremely Positive
"Expert market commentary by Nate Donnay, Director of Dairy Market Insight for INTL FCStone Financial Inc. - FCM Division. Is quoted by @DroversCTN #dairy #coronavirus #oatt @ifcsdairy https://t.co/xczYvba6VR",Neutral
#Coronavirus: what to do when going to the supermarket. @ISPUP #ISPUP #Covid-19 #Covid19PT https://t.co/GvoVTE56vl,Neutral
"@yjack224 @RichMykola @RobProvince @GiantPrepper @AlienGamer79 Why are these dorks running to the gun shops instead of the supermarket. Its not like law enforcement will stop functioning. This isnt gonna be the Wild West.

https://t.co/ey9cVgx",Extremely Negative
When I'm pissed my reading comprehension ain't so good but I think #NeverBiden wants #BigPharma to set the prices for the #COVID2019 cure. Y'all make me sick voting for this corporate stooge over #BernieForPresident,Extremely Negative
"Consumers are changing their spending habits to reflect new standards of living during the COVID-19 outbreak. According to Neilson, consumers are starting to think beyond emergency items and preparing their pantries for the worst.| @scoopit https://t.co/gOjrWCBSvv",Extremely Negative
"A few said it was the end times. I thought, even if it was, wed all go on living our trivial lives until the penultimate moment of our demise, whereupon wed realizewed spent our last days at the grocery store, buying toilet paper. #COVID2019 #cordonedbycorona",Neutral
"What are you stocking up on? Do let us know in the comments below!

https://t.co/FZinZQpzoC

#coronavirus #CoronavirusOutbreak #coronavirusindia #CoronavirusPandemic #food #TuesdayThoughts https://t.co/3ROihH30nP",Neutral
"US Food Industry Scrambles To Resupply Stores Amid Apocalyptic Surge In Demand

https://t.co/OG4EkCtkiG

#BreakingNews #Collapse #Food #Coronavirus #CoronavirusOutbreak #COVID19 #COVID?19 #COVID_19 #COVID2019 #Collapse",Extremely Negative
"The profitability of the ""Everything Stores empire rests not just on its ability to squeeze workers and exploit economies of scale, but also on its ability to forge a seamless connection between millions of individuals and #Amazon.""

#DigitalCapitalism 
https://t.co/SNd5L2Ew5f",Extremely Positive
"Be so kind to your grocery store employees, folks. They are taking on more of this fearful and frantic #energy than anyone. 

Send prayer of love and strength when you love through the checkout. ??
#COVID2019 #Grocery #BeKind #FaithOverFear #loveistheanswer #PrayerForAPandemic",Extremely Positive
"Day one of the Luzon-wide enhanced community quarantine to prevent the spread of COVID-19. 9:30am at the back of the line at a supermarket counter in Los Baños, Laguna. Social distancing is barely observed by shoppers as they stock up on supplies. | @InquirerSLB @KBaraoidanINQ https://t.co/IqlUUE8QeQ",Neutral
"Day one of the Luzon-wide enhanced community quarantine to prevent the spread of COVID-19. Crowd as of 10:30am at a supermarket in Los Baños, Laguna. Shoppers barely observe social distancing as they stock up on supplies. | @InquirerSLB @KBaraoidanINQ https://t.co/lExOfXfenH",Neutral
"More lurking finance issues exposed by COVID 19's mkt effects- US debt (of all types)- a growing concern before, potential beast now.  Prudent gov't macro actions are required- the crisis will exacerbate at all levels.
@efipm summarizes.
@DailyFintech 

https://t.co/qR31BIM1rQ",Extremely Negative
Love it when artists see the funny side. Don't know who created this but it's brilliant. If you had seen the idiots in Tesco the other day you would understand! #CoronavirusOutbreak #coronavirusuk #coronavirus #Munch #toiletpaper #toiletroll https://t.co/0lWEURaalX,Extremely Positive
#COVID2019 Chemist upping their prices from two days ago on various products. You vile bastards,Extremely Negative
"Citysuper IFC mall store in #HongKong was informed by the Centre for Health Protection that a customer infected with #COVID2019 had recently visited the store. Please continue to stay vigilant friends in HK, practise social distancing and do online shopping instead. https://t.co/T5xWVJnsNK",Extremely Positive
"Well the #Coronavirus food panic buying isnt abating yet. Just imagine if this happened after that idiot Tim Leunig had got his way. Get rid of these fools Boris.

Gov advisor says UK could import all food 'like Singapore' | Politics News | Sky News https://t.co/MpUnCW1H2J",Extremely Negative
"Staying home today w/ kids? 

Plan living room camp out!

Throw a bedsheet over some taped together brooms. Plan a menu &amp; pack sandwiches, salads (Smores optional?)

A fun activity that also brings family together for a meal!

Share your ideas &amp; use the hashtag #TogetherApart https://t.co/rgwCl8IIHY",Extremely Positive
"To those of you saying, If I can still do x,y,z why cant we still go out and vote?

Just because you CAN do something (go to the grocery store, etc.) doesnt mean you SHOULD do that thing!! 

#stayhomechallenge #COVID2019 #OhioPrimary",Neutral
#COVID19's Business and #ConsumerImpact in Europe https://t.co/w0gM5liN6y #marketing,Neutral
Hubs told me today that I should stock up on more parrishable food. What in the actual hell??!!! #COVID2019 #hunkerdown,Extremely Negative
"Disgusting price gouging by ABC Supermarket in Anaheim CA.

Boycott these clowns.

ABC Supermarket 
1216 S Magnolia Ave, Anaheim, CA 92804
(714) 229-0618

@voiceofoc @OCRegistrar @CNN @FOXLA 

#pricegougers #COVID2019 #CoronavirusOutbreak #pricegouging https://t.co/qvvn8Rjmaj",Extremely Negative
"The ultimate flex today is walking around the grocery store wearing a 3M N95 mask and holding a 24 pack of Charmin toilet paper 

#coronavirus #covid19",Neutral
"Running to the supermarket has now become a public gathering and many stores are out of some of the essentials needed to keep COVID-19 at bay. Still need sanitization products? Order online! Well do the rest! 
#staysafe #ContainCOVID19 #JPAK #ShippingtoJA #OnlineShopping #lysol https://t.co/tDr5wVLsig",Neutral
"COVID-19 wont be similar to the Great Recession unless unemployment ?? &amp; stays ??. At the EOD, if the gov steps up for the consumer &amp; business, people will still have income. If its necessary to curb activity to beat COVID-19, a (temp) GDP retraction shouldnt be a surprise.",Extremely Positive
"The world; panic buys food and toiletries. 

America; panic buys food, toiletries oh and guns ?????

#COVID2019 https://t.co/Ggqh5PtSUS",Extremely Negative
"Bravo @HotTopicsHT for doing the right thing by your customers AND your employees. Businesses, take notice! ?????? #CoronavirusOutbreak #COVID2019 #coronavirus #COVID19 https://t.co/8ysAWwTnaI",Neutral
"Nice assurance from #Malaysia PM but there are panic buying &amp; shortages of essential supplies in Msia too. It's political suicide for the new PM to allow full food supplies to #Singapore when supermarket shelves in Msia are empty

#coronavirus #COVID19 https://t.co/S66HC3Ayh8",Extremely Negative
"Its interesting to see the amount of people flat out ignoring the limits. 

Theres a limit of 2 Susan!
#groceryshopping #coronavirus #StopPanicBuying",Neutral
"#ukjay #COVID2019 #breakingnews #coronavirus 
Scientists have now discovered that the virus is carried in Supermarket toilet paper supplies!",Neutral
My elderly and infirm mother had trouble getting bread and other food as she didnt panic buy and thought of others. It is sickening how selfish some people can be in a crisis. #coronavirus,Extremely Negative
Should I have told the lady at the supermarket that wearing a face mask isnt really helpful? And its especially not helpful when its dangling from her face? #COVID2019 #facemasks,Extremely Positive
"Max asked WHY we are going to the Supermarket after @asda cancelled our order last minute. I told him we only bought what we NEEDED UNTIL TODAY; NOW have NO FOOD left.. Pregnant women are now told to isolate; we have few eggs, half a pint milk + rice left. Essential? #COVID2019",Extremely Negative
"Zásah policie proti spekulant?m s roukami. Na m?j popud hejtman Ústeckého kraje ve spolupráci s @PolicieCZ podle krizového zákona zajistil tém?? 700 tis.rouek od firmy, která je m?la dodat na zdravotník?m, ale na poslední chvíli se snaila navyovat cenu. #spolutozvladneme",Neutral
"The ONLY real thing Ive learned from this PANDEMIC is that ur all TOTAL assholes. I cant even wipe my ass now or buy milk, there is no food left &amp; Amazon has nothing in stock. Thanks for being greedy POSs &amp; leaving NOTHING for ur fellow man. I HATE U ALL! #coronavirus",Extremely Negative
"My brother is struggling with having to change his routine because of covid-19, not going to the gym or supermarket each day etc. It's all very sudden and he usually needs several weeks to cope with any change. Does anyone have suggestions that might help? #actuallyautistic",Neutral
People stock piling - YOU ARE ALL SELFISH! Unfair on people who genuinely need food for the week and youve piled up like its the world war!!!! #coronavirus #Corvid19uk,Extremely Negative
I can see a spike in online shopping over the next while. #stayhomechallenge #coronavirus #COVID19 #QuarantineLife #onlineshopping https://t.co/2MumNH1Vxa,Neutral
"@MayorOfLA @LACity Thats good, but what about those who will be affected by COVID-19 directly? Those who will have their hours cut severely or laid off due to low consumer traffic at various jobs? Will their be any sort of relief/financial aid for these p",Extremely Negative
"Many thanks to all nursing staff, supermarket staff and volunteers in the UK, Austria and around the World. Respect ?? #COVID2019 #Corvid19uk #stayhomechallenge",Extremely Positive
"Breaking: Great news! Northgate Markets in SoCal is holding special #coronavirus hours for 65+ and disabled folks! 

Lets hope this kind of public service catches on. 
#TuesdayMorning
https://t.co/VO7jvoF6lr",Extremely Positive
"Omgggg they sent out an emergency alert about COVID-19 and everyone's phones went off at the supermarket ?

(Yes, I'm back out to get more necessities cus we missed some over the weekend)",Neutral
"The weirdos who built shelters and stocked goods bc of a rumored impossibility that a computer clock couldn't successfully count 1 digit from 1999 to 2000 are laughing at us right now.

 #COVID19 #coronavirus #y2k  #StopPanicBuying #itsrealthistime #FalloutShelter",Extremely Positive
"Give the perfect gift this Mother's Day from our large range of specially selected gifts to show your Mum just how much you appreciate her.

Click below for inspiration!
https://t.co/1pCZrNOsS4 https://t.co/VKSFPaAaEz",Extremely Positive
All normal bread sold out at local supermarket so my partner bought an onion &amp; parmesan sourdough &amp; its actually so good. #Covid_19 was clearly created by artisan bread makers to get us consuming their product.,Extremely Positive
"CN - #Coronavirus #COVID19

Even after criticising (harshly &amp; unkindly) my Mum's response to the crisis, I am planning to go out to the shops later this week, to try and get supplies to last to the next online shopping slot I can get. Will probably go on Thursday/Friday.",Extremely Negative
"Things we will all hopefully benefit from after Covid-19: increased value placed on work from home options that will benefit people with disabilities/illness and families in the long run; more online learning, more businesses offering delivery, accessible supermarket services,",Extremely Positive
Our local grocery store @RealCdnSS in @NorfolkCountyCA #Simcoe #Ontario. #ontariolockdown #coronavirus #Coronavirusontario #Coronavirustoronto #CoronavirusOutbreak https://t.co/xy965ATt6r,Neutral
The recent from the Chinese has resulted in an economic disaster for western countries where they are having difficulty controlling the virus just like China did at its early stages,Extremely Negative
"While I fully support healthcare professionals on the front lines of the #covid19 #Coronavirus #pandemic Can we shout out to everyone who still has to work! Retail/grocery store employees, utility technicians, truck drivers, government, military, police and so on. Thank them all!",Extremely Positive
"retail workers dont deserve your attitude when it comes to not having stock (sanitizers, toilet paper, etc). COVID-19 has a lot of people under stress, I get that, but screaming at a cashier for the store not having sanitizer?",Extremely Negative
I'm joining a conference call shortly with Food City CEO Steve Smith in regards to how COVID-19 is affecting the supermarket industry.,Neutral
Our grocery store is out of rubbing alcohol and wipes at the moment. #coronavirus https://t.co/Qi25xDneaT,Neutral
"Boris says there's no reason for people to panic/bulk buy  when asked how we can ensure everyone has food. This is a man who's obviously not stepped foot in a supermarket lately or battled to find essentials!  #outoftouchwithreality
#COVID2019",Extremely Negative
"...Meanwhile in every supermarket in the UK...???
#COVID2019 

Hope everyone's having an awesome Tuesday and surviving the #ToiletPaperBlues! ?? https://t.co/OflmVQvlsL",Extremely Positive
I seen an employee of a well known supermarket giving bottles of hand sanitiser to the elderly shoppers to make sure they had one... It nearly made me cry. In a time of chaos there is kindness #COVID2019 #BeKind,Extremely Positive
This is a text message I received from my local regional grocery store Thank you for doing your part to help out seniors,Extremely Positive
When you cough at the grocery store due to allergies and you get the why are you out in public look,Neutral
"Going to the grocery store just pisses me off, anymore. I have a very low threshold for stupidity and hysteria. Its an annoying and dangerous mix. #CoronaVirus",Extremely Negative
"Went to the grocery store today. All the water was sold out except Dasani, which the shelves had plenty of. Encouraging to know this thing has not gotten Dasani water bad ??

#selfquarantine #coronavirus",Neutral
EU hasn t been able to act collectively  because of the pace of the spread  of says on Says EU needs to be ready to help w recovery of economies and societies Says single market needs to function to ensure  nobody runs out of food or stock ,Extremely Positive
"The worst thing about TP hoarders is that when I finally do find some TP at the grocery store, I will feel obligated to buy a shit ton since I don't know when next it's available. These stupid selfish fucks are creating their own supply crisis. #toiletpapercrisis #COVID2019",Extremely Negative
The process of online shopping really does mean that youre all relying on a lot of people to wash their hands. #COVID2019 #coronapocolypse,Neutral
"Due to the fact I cant seem to get an online booking for food until 2021, my daughter is taking me food shopping tomorrow morning. Are we suppose to walk around the shop 2 meters apart to comply with social distancing? And, how do we stay 2 meters apart in the car? #coronavirus",Neutral
"Humans - ""Top of the food chain. Earth revolves around us and our stock markets.""

Covid 19 - ""well, hi there sexy.""

Humans - ""Quick, buy all the loo rolls.""

#COVID19 #looroll #weredoomedmrmannering",Extremely Positive
"First time I am actually ? @ScottMorrisonMP... 

He sounds so pissed off tbh and when you consider the supermarket hoarding, the lockdown rumours, the COVID-19 scams, you can't blame him.",Extremely Negative
"When I went to the grocery store yesterday, a dumb lady arguing with the clerk over hand sanitizer. What is wrong with you? #coronavirus",Extremely Negative
The toilet paper isle at the grocery store I work at. #coronavirus #coronapocolypse #panicshopping https://t.co/TyoRVlfHHo,Neutral
Broke my heart today walking around the supermarket and seeing the look of absolute panic on all of the elderly peoples faces because of all of them selfish clowns who are clearing the shelves.. fucking pricks! Fuck 2020 &amp; Fuck COVID-19 ??,Extremely Negative
Unreal. Had planned to be at the grocery store first thing this morning because the deliveries were supposed to happen overnight. No deliveries and huge lines of people. NOPE! #COVID2019 #coronavirus,Neutral
When you in the grocery store and people creep in within 6 ft rule. #coronavirus https://t.co/e5W2OjuaTY,Neutral
"Prayers and positive vibes to all doctors, nurses, healthcare workers, researchers, grocery store workers, stockers, and truck drivers. You are our angels, we are eternally grateful!
#staysafe #stayhomechallenge #coronavirus #workingfromhome #QuarantineLife",Extremely Positive
Sainsbury: Give the elderly the first hour of supermarket trading during Covid-19 - Sign the Petition! https://t.co/1u7rQVhse6 via @change_es,Neutral
Going to vote and the grocery store. Wish me luck. #IllinoisPrimary #COVID2019 #needfood #VoteBlue2020,Extremely Positive
"Yesterday, my grandmother was screamed at and accused of having COVID-19 at the local supermarket solely because she's Asian. Today, my sister was attacked at school where kids poured water on her and called her a ""dirty ch*nk."" #RacismIsAVirus",Extremely Negative
"#China's #COVID2019 &amp; #ASF ""outbreaks were almost certainly made far more severe by government-mandated restrictions on the disclosure of information to the public which inhibited efforts to combat diseases in their critical early stages"" @JamestownTweets
https://t.co/I6FrDsjrxy https://t.co/XU5YOTMt9z",Extremely Negative
"Food for thought... you take ""dem"" out of ""pandemic"" and you're left with ""PANIC."" #iSpellzGood #stayhomechallenge #COVID2019 #coronavirus #QuarantineLife #COVID19 #CoronavirusOutbreak #ToiletPaperApocalypse",Extremely Negative
Petition · Give the elderly the first hour of supermarket trading during Covid-19 · https://t.co/l1Tvx6EpQ0 https://t.co/NXOCQ3ELCp,Neutral
"Adjusted opening hours. Phone calls. Video conferences. Working from home. Shopping online. Different means of doing business. 

Come together as a nation by staying apart from each other. 

#coronavirus #covid19",Neutral
"My store is at the point where we quite litterally have nothing left to put on the shelf. And.... we don't get a truck for 2 more days, soo..... #coronavirus #coronapocolypse #Retail https://t.co/NXX3u17sSL",Neutral
"Thank your grocery staff! America is amazing. Empty shelves yesterday are already filled at my local store. The entire American food supply system is to be celebrated! 
#coronavirus",Extremely Positive
"With the #coronavirus sweeping the planet.
Overall. Are you.......
1. Not taken in by the hype
2. Slightly worried but taking a few precautions 
3. Starting to panic and stockpiling with food toiletries. 
4. Totally neurotic and were all going to die",Extremely Negative
Scary Gun sales gone up in amid Fearing shortage of food supplies and civil unrest many stock up on arms and ammunitions in the US,Extremely Negative
Tips for grocery shopping from someone who works at a grocery store! (not me) #COVID19 #COVID?19 #Covid_19 https://t.co/kTWk0cYkuC,Neutral
"What is the new 'business as usual', following #COVID-19? How do you promote your brand without being seen to take advantage of the situation? And with changing consumer behaviour, what will stick longer term? Join our webinar on 20 March to find out: https://t.co/hcF1CYnMPv",Extremely Positive
"Making a supply run in the era of Covid-19. Death, disease, and disruption all because an idiot had a hankering for bat meat. @ SM Hypermarket Cubao https://t.co/D1oaFFOMqW",Extremely Negative
Shopping set to change due to #coronavirus says #UBS I agree people who have never or rarely shop online will be doing a lot more of it now &amp; using the government #stimuluspackage cash to do it. Not very good for #localbusiness  https://t.co/NT0EyHAuTS,Neutral
"I just had a guest rudely tell me If you think being an employee through this pandemic is bad imagine being a consumer ?? 

This made my day. #COVID2019 #target",Extremely Negative
"""At the ports, terminals were shuttered, as fewer ships, loaded with consumer goods and parts for American factories, set sail from China. And exports, poultry and oranges, were piling up on the docks."" https://t.co/S59fEzSkQl",Neutral
"Just went to the grocery store, and the cashier was A) elderly and B) on an oxygen machine. Is this real life??? #COVID2019",Neutral
"STOP PANIC BUYING AND HOARDING. I work in a food bank and EVERY client Ive seen is stressed they have no toilet paper or food because selfish a-holes have raided all the grocery stores. If you need to go grocery shopping, PLEASE use common sense and dont be greedy. #coronavirus",Extremely Negative
When u lose your job which leaves u with no money then everyone is panic buying and going into quarantine and u know at some point your gonna be locked down with no food an no supplies ????? #covid?19uk #COVID2019 #,Extremely Negative
The Maharashtra Govt is looking at hotels with discounted prices near the airports for quarantine Win Win situation since hotel occupancy is drastically down,Extremely Positive
"Just me, headed off to the grocery store. #coronavirus https://t.co/tFiTPZPm41",Neutral
"While this week has been crazy, Im incredibly lucky to have a best friend who cooks, cleans, and does the grocery store runs so I dont have to. Thank you to all the loved ones out there for supporting the front line health care workers right now. #COVID2019 #IDTwitter",Extremely Positive
"Just wondering if Hotels are still operating or are they allowed to operate during #MovementControlOrder #COVID2019  and just sharing thoughts: Do you think that it is very risky to go and stockpiling from the supermarket, groceries now? Someone might got affected.. and touched u",Neutral
Watch this story when you consider shopping. As long as the trucks keep rolling the food will be there. Remember  EVERYTHING you have purchased at a store or online has been delivered on a truck at some point.  https://t.co/W3oswfEFDO,Neutral
There is enough stock That is the reassurance from the FMF Foods Ltd managing director Ram Bajekal as countries battle against the deadly coronavirus disease,Neutral
"I just did my shopping online without panic at https://t.co/KZrFOz3kwV just by browsing through the articles, it's safe and with free delivery! #QuarantineLife #Coronavirussouthafrica #CoronavirusOutbreak #COVID19KE #ChinaVirus #CoronaVirusChallenge #selfquarantine #COVID2019",Extremely Positive
"This made me angry! Shame on you! This meant nothing for anyone else because of their greed! I hope karma bites them in the butt! Not sharing my toliet paper with them!
#COVID2019 #helpnothurt #lookaftereachother
https://t.co/YYHb91Lzxt",Extremely Negative
"To the people who bought 45L of soap and left nothing behind at the supermarket ?, do you realise you need others to wash their hands to keep you away from virus.. #CommonSense #coronavirusnz #Covid_19 #COVID2019",Neutral
"I often wondered when watching I Am Legend, why he raided houses for food rather than a grocery store. Now I know why... #coronavirus #QuarantineLife https://t.co/6EPreBnAdQ",Neutral
"This is what they told me socialism would look like! Tried to go shopping. Key word...tried. But still in good spirits!

#covid19 #nofood #stockpile #coronavirus #food #shopping #capitalism #noworries https://t.co/YlY8o95jYA",Extremely Positive
